,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.30184196415322584,0.012702782523471597,0.27727753,0.3364744529435484,0.022262412385634443,0.29400134
Step 1,0.3211469259677423,0.04521449756161987,0.24979069,0.3645308580241932,0.07433001825605065,0.22101033
Step 2,0.30081042572580696,0.040990035824649725,0.25598693,0.32858927564516205,0.07571356547640191,0.21542171
Step 3,0.2796671112096783,0.021685610640474064,0.24913232,0.2967383817338711,0.04673146028008104,0.22562752
Step 4,0.3070083132258071,0.0540328024920679,0.2532923,0.33759567657258105,0.08948627383028926,0.22545639
Step 5,0.27314854548387074,0.01655818045788456,0.25318586,0.2851109141935478,0.038433908113323964,0.23383789
Step 6,0.29373812137096766,0.039157081654435114,0.2507816,0.31779272657258106,0.07518942121523453,0.2026593
Step 7,0.30861641471774215,0.04091129090438719,0.26148627,0.34974190036290376,0.06883188180544612,0.26218824
Step 8,0.30972265653225867,0.04395263941595649,0.24855058,0.35251618080645136,0.07612974490177071,0.22310925
Step 9,0.29569263887096797,0.04414974328224393,0.25286633,0.3186607188709672,0.08676834994643695,0.20327206
Step 10,0.3008690827822578,0.04595582761491871,0.25691622,0.33176994104838653,0.08427965479078359,0.21399435
