,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.2710591393969648,0.010041915672671797,0.25465842,0.27093338125000005,0.027377864758964438,0.2266459
Step 1,0.2710591393969623,0.010041915672671833,0.25465842,0.2709333812500008,0.027377864758964403,0.2266459
Step 2,0.29757808638578154,0.026735287452751947,0.25524905,0.33177304207268743,0.05005120324354149,0.23268153
Step 3,0.29667783728035263,0.024834482737448847,0.26332796,0.33104229042731775,0.04338910125441646,0.25923942
Step 4,0.2881340831309883,0.02189914241319802,0.25889969,0.31487754826277986,0.04261528548913919,0.2345101
Step 5,0.2912965785503218,0.021041551019195092,0.26177724,0.32133855458067556,0.04204987573678568,0.23632622
Step 6,0.3130335463658192,0.027902126822578727,0.27671769,0.3642739206948907,0.042623240430913124,0.30088354
Step 7,0.275364907124602,0.01362023749191732,0.25432039,0.2970791503314743,0.030603586130358545,0.24033596
Step 8,0.2831956124440902,0.02682856944215874,0.25862232,0.30729040232428084,0.04996090013729707,0.25686928
Step 9,0.2715391636821072,0.017794810105700488,0.25403944,0.2727339317931316,0.054468262021141516,0.1979935
Step 10,0.2742910290375409,0.016369602668475536,0.25411864,0.28909062203673574,0.04188372880223177,0.22076426
