,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.12419980394699999,0.016437087396083676,0.11445016,0.088745528449,0.008771933724685365,0.08256095
Step 1,0.10880960805600366,0.020384691609841712,0.09146104,0.09000463348100428,0.008435007688765955,0.08083032
Step 2,0.11642893911099761,0.020145033276028682,0.0995705,0.10117689191400188,0.007240883385227383,0.08842916
Step 3,0.11818638884300178,0.014153909178688702,0.10289292,0.08323785830899907,0.010035466006591208,0.06452365
Step 4,0.11687829458399658,0.017431240409218098,0.10478845,0.08556092839099831,0.010606182117762774,0.06940467
Step 5,0.11902454270999617,0.01908324299054487,0.1077254,0.08763106301900135,0.013102593185150868,0.07556028
Step 6,0.11961029987099685,0.024285940019496362,0.10474506,0.07869905555299762,0.016248438098708615,0.05821881
Step 7,0.11863895482999774,0.019762130132606883,0.10593314,0.06999101141200237,0.015803675314062588,0.04817737
Step 8,0.12590580805899515,0.010404929508284347,0.11545962,0.08295550748800234,0.01036603698471327,0.0690597
Step 9,0.14655647898299534,0.015189044590986528,0.13340293,0.10067235018499696,0.008471658079390425,0.09070353
Step 10,0.14459252252199495,0.01175316339121949,0.13420265,0.0995531255700003,0.006328114284733446,0.08849641
