,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.08977149926099999,0.0050722847037512515,0.0799016,0.090627601751,0.005162986672147067,0.08056547
Step 1,0.0757956571230016,0.016976542857553102,0.04774953,0.07673298069099858,0.017195553319304373,0.04838838
Step 2,0.07891634666300089,0.011642940694878017,0.05287605,0.07982792886399924,0.011797839398067165,0.05347925
Step 3,0.08495574687899757,0.010945727395283118,0.05961496,0.0858918090229954,0.01110622665331124,0.06022358
Step 4,0.08456404509300168,0.008926072638537967,0.06483312,0.08540429382500686,0.009086310744073779,0.06532242
Step 5,0.08825081711499913,0.007061674356236291,0.07296408,0.08906831566899537,0.007198868735594542,0.07349331
Step 6,0.09148801986100123,0.003992284551625986,0.08566238,0.09226489067299797,0.0040293395478639155,0.08636315
Step 7,0.095498484921,0.002936867296822681,0.08908384,0.09631189996500594,0.003009933176527176,0.08974043
Step 8,0.09631734518800115,0.002384320103173631,0.09144848,0.09713477214300677,0.0024477481294562136,0.09212887
Step 9,0.09853099435000488,0.002092130911766114,0.09535378,0.09935653425400044,0.0021059140750949745,0.09617265
Step 10,0.09763236816300208,0.0013210773555508025,0.09522703,0.09853594056999876,0.0013916247650709512,0.096098
