,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.091044878262,0.01919505341716794,0.05055121,0.04958110459,0.016435327187246666,0.02294742
Step 1,0.09104487826200006,0.019195053417167974,0.05055121,0.04958110459,0.016435327187246652,0.02294742
Step 2,0.09889617257199984,0.01926727344222741,0.05452413,0.05684459080000015,0.017226666789096987,0.03165752
Step 3,0.10764304669200005,0.01936860824731057,0.06989717,0.0653320158260001,0.018281695901794168,0.03924749
Step 4,0.1148334111920002,0.019658886347223826,0.07014203,0.07343875202799964,0.01979256552306649,0.04448284
Step 5,0.12264239607600028,0.020215747974224596,0.07892481,0.08132245903800019,0.02240449227550537,0.05098698
Step 6,0.12996915788199942,0.021699145724623354,0.08169005,0.08927790918999971,0.029085806345417638,0.05339675
Step 7,0.1362337263899998,0.02415851817367693,0.08879515,0.09739002261400023,0.0376120434077893,0.06194312
Step 8,0.14254790808400036,0.028372944751247284,0.09359664,0.10763606222200017,0.049557178052584236,0.0648893
Step 9,0.1502868850499991,0.03400751500389148,0.0979183,0.1196620305179998,0.0634147902006515,0.06849449
Step 10,0.15646781416999958,0.038670068592707475,0.10212476,0.1306557526239995,0.07297183358815972,0.07129908
