,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.33458595171,0.01582745799179568,0.2971612,0.29778319096999994,0.017735116401143856,0.2554377
Step 1,0.29385425568000023,0.0316829470946792,0.22487472,0.25273456794999943,0.037727851935322916,0.16666769
Step 2,0.4015486446300005,0.061430778719077456,0.27879831,0.3731142120299991,0.06684746871654935,0.23569247
Step 3,0.31185294808000014,0.05563421196859478,0.22554367,0.27186733758000126,0.06554652995277625,0.1669145
Step 4,0.2737189428300003,0.04408120371897594,0.20704104,0.2268645568000001,0.05352696384881694,0.13916255
Step 5,0.41210402906999977,0.0525845474633259,0.29580343,0.38327118796000054,0.057065624142684096,0.25349177
Step 6,0.2877258444000009,0.03530309749039611,0.21835174,0.24190130273999957,0.0427394881393631,0.15458005
Step 7,0.31683545756999953,0.048037804914080086,0.23284594,0.27472403508000004,0.05507255577910663,0.17440232
Step 8,0.3330067732899995,0.043077715502357804,0.23824433,0.2926851573600004,0.050079920290100916,0.17835717
Step 9,0.33084660123999954,0.037711796955613094,0.23799916,0.29087422864999984,0.043835977367472044,0.18025228
Step 10,0.32792046196999974,0.04380056371069901,0.22686793,0.28646868368999995,0.051019872663627196,0.16554932
