,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.045770375428,0.009563878318556929,0.0282245,0.04423845605400001,0.009805446820669804,0.02484655
Step 1,0.04577037542800008,0.009563878318556939,0.0282245,0.04423845605400007,0.00980544682066981,0.02484655
Step 2,0.08092615345800033,0.018175159126830993,0.05010655,0.07860172273999987,0.017924666191730835,0.04607344
Step 3,0.1156712185679994,0.021764414793095124,0.07058253,0.10970959600999931,0.02150094893868111,0.0665226
Step 4,0.1513878140740008,0.008459728605802906,0.13082456,0.14699225276600006,0.009831950873839474,0.12237912
Step 5,0.16334176405399892,0.0033223940375452345,0.15597041,0.15861499228399964,0.003122654604644025,0.15059766
Step 6,0.16817058546,0.003470133912146811,0.16134737,0.16635227612600012,0.00342957163133781,0.16035987
Step 7,0.1766125173319991,0.0029264039817223264,0.17171321,0.1744526972240006,0.0035495886439410995,0.1685765
Step 8,0.17791795820399992,0.003156356682359607,0.17292077,0.173209041435999,0.0032846493428100795,0.16872509
Step 9,0.1792145044779998,0.0026994648066592172,0.17453361,0.17411049539400034,0.0023082506717925586,0.16818293
Step 10,0.17963378991600037,0.002524622106162926,0.17679829,0.17473901302399988,0.0020237991600437905,0.17101088
