,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.14163400348400002,0.019504516909719466,0.12019742,0.09467464491799998,0.012061204742018886,0.08199057
Step 1,0.13328203688200244,0.02974629274251569,0.09517532,0.09464170086199994,0.01589379001424701,0.07842618
Step 2,0.14211509003200007,0.0268122118596766,0.10098462,0.10236839548199915,0.010253696233759445,0.09027137
Step 3,0.13488861014000203,0.01990473137958709,0.11051654,0.0905580620840002,0.01617381202137299,0.07165732
Step 4,0.13681083194000102,0.020512609547333607,0.1092181,0.09575283723200044,0.018892382929889793,0.06724924
Step 5,0.13591226368799975,0.023823476636084123,0.10894535,0.09042009747400016,0.014648478951339704,0.07108423
Step 6,0.13229085138199867,0.023227554647507358,0.10892419,0.08188359097800006,0.021715611612398274,0.05133121
Step 7,0.13814902380400002,0.02400559945744543,0.10546088,0.08554937988000157,0.019609979587927526,0.05233294
Step 8,0.13971757438199892,0.02395051844753331,0.11280185,0.09080536313200016,0.017926509855130914,0.06825887
Step 9,0.15776546049400253,0.018817111807165502,0.13944287,0.10519590619400157,0.013776392191160912,0.08970058
Step 10,0.15777409139800055,0.011819456412223775,0.14175773,0.10057164865399995,0.009895898268888996,0.08211514
