,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.34396087310999995,0.020951273679646852,0.30467662,0.3082418518,0.023422741658476225,0.26386266
Step 1,0.3728520492599994,0.05762740065310225,0.29025942,0.3419702429100013,0.06353616606814162,0.25040897
Step 2,0.30721793720999807,0.038780585770821566,0.22230852,0.26752413640000006,0.04635706909482144,0.16206062
Step 3,0.3022566281599985,0.051067042764434856,0.23041388,0.25997868689000003,0.06041016882611593,0.17327413
Step 4,0.3481010762000009,0.060776507003295024,0.26357114,0.3132921255399992,0.06750360280161631,0.21708557
Step 5,0.3578403455900012,0.05446793070101011,0.30713725,0.32396128378000005,0.05882386751600885,0.26740698
Step 6,0.3061709013799994,0.05770164434444101,0.23500109,0.2627490409399994,0.066245864485005,0.17789387
Step 7,0.33401003974000276,0.036980648054481556,0.26181429,0.29463112832000166,0.04200192502535441,0.20903448
Step 8,0.3553334344299994,0.07146058430935237,0.22504241,0.3174251344800017,0.08071899401085421,0.16504286
Step 9,0.33713169421000094,0.057467559213187566,0.24213717,0.2974748382100023,0.06491971783576755,0.18628006
Step 10,0.3735109219100016,0.03953410095833343,0.27610851,0.33846761604999936,0.04496849130195026,0.22696164
