,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.06847026751,0.019182663561359666,0.03909023,0.101568613276,0.03333043471033914,0.05097439
Step 1,0.0684702675099998,0.019182663561359666,0.03909023,0.10156861327599977,0.03333043471033914,0.05097439
Step 2,0.0799475273100001,0.021152665121776278,0.04804862,0.1374196528560003,0.040039848190874104,0.08224084
Step 3,0.09597158622199958,0.02590801985478074,0.06022746,0.1346182836620003,0.04527895419305977,0.06977911
Step 4,0.09557215744400015,0.021175814012936132,0.06312527,0.11808074926800002,0.05818507211593231,0.05774171
Step 5,0.09841831031000015,0.018370306127680154,0.06798297,0.11182517215599987,0.03287286693727474,0.05651856
Step 6,0.10030194567600002,0.020941845512692726,0.07213521,0.11374815239799993,0.043836281243098414,0.06167741
Step 7,0.11846749963400073,0.02751051294528896,0.07229481,0.1383212034279995,0.06195107428661578,0.05326904
Step 8,0.1394374061080002,0.033274171074192865,0.08007161,0.1735779888459998,0.06866586571722383,0.05920967
Step 9,0.14949554287999958,0.02728369866701557,0.09149676,0.17430985152999923,0.06597710892697121,0.0698222
Step 10,0.12912180432999976,0.030759321571347406,0.08970566,0.13694675945199944,0.061291699886205635,0.07004304
