,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.10453025885500002,0.03173373775528621,0.0,0.07771469647000001,0.024922095744520246,0.0
Step 1,0.0551000054869985,0.021797604786636445,0.0,0.04910164320400212,0.019774270842751712,0.0
Step 2,0.06593840420299826,0.02404147173116023,0.0,0.055941586327000616,0.020819296493734322,0.0
Step 3,0.07457207856800178,0.02547870642472048,0.0,0.060705166173001576,0.021732975395395964,0.0
Step 4,0.08546107005399844,0.02739662553582856,0.0,0.06406634584000068,0.022941943894108315,0.0
Step 5,0.09608326836500243,0.02992009433592923,0.0,0.07427638487000192,0.024955687955307095,0.0
Step 6,0.1053638346990034,0.03171806965296992,0.0,0.07621789635799997,0.024343303471388855,0.0
Step 7,0.1164164452019982,0.034605950762780884,0.0,0.08444813655800379,0.026632084826633946,0.0
Step 8,0.12565649939600002,0.037346986390038125,0.0,0.09076465846599774,0.02904585121923648,0.0
Step 9,0.1342562120480092,0.039219576914476216,0.0,0.09658712447700232,0.029770729148025907,0.0
Step 10,0.1452967804940032,0.04232207317010042,0.0,0.10371084070099922,0.03190930002882152,0.0
