,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.12945636104000002,0.012187701684457828,0.11581261,0.08602214083500001,0.007813850618343785,0.07710058
Step 1,0.11565712546999386,0.015524068888099233,0.08738937,0.08214595028500103,0.006670662330564756,0.06992103
Step 2,0.12981473604799965,0.020965408571153307,0.10277199,0.0991289999530015,0.009437776594242739,0.08642287
Step 3,0.1232797429270043,0.016513077295795785,0.09601794,0.08720044423299818,0.011965230992826622,0.07098489
Step 4,0.12114459115900318,0.014473786420233423,0.10302251,0.0814677715989954,0.012172195795461815,0.05946959
Step 5,0.12108367538099911,0.010019529601189094,0.10753187,0.07972075223900234,0.010528745668939547,0.06224697
Step 6,0.12942005918599406,0.01989256870878094,0.10730045,0.08091723295699682,0.021845842928557152,0.05380009
Step 7,0.12506996515399837,0.020782815793120073,0.10728962,0.06838039114200098,0.01345795305099188,0.04507347
Step 8,0.12176016565700169,0.00493071403661152,0.11156364,0.07663579190800139,0.00811124594380483,0.06334323
Step 9,0.14816173390199577,0.009441520963362654,0.13348765,0.09918218300599936,0.008890562377249769,0.08430498
Step 10,0.15068628003200785,0.01520699100013025,0.13641346,0.0947593216800023,0.013635277003990223,0.07368664
