,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.15405114745967743,0.014263180956138101,0.13529925,0.1553457143951613,0.014245402729736813,0.13665751
Step 1,0.1435093358467745,0.03916984242747906,0.09812315,0.1447471911693544,0.03918401109195809,0.09935978
Step 2,0.15103109584677357,0.048059714781249964,0.09733872,0.15225065975806457,0.04804678031611029,0.09852594
Step 3,0.12258538237903203,0.018324801666791957,0.09995171,0.1238636227822582,0.01840501897785922,0.10119839
Step 4,0.14320329314516142,0.042675809670377,0.09980969,0.1445128137499999,0.042661365564434124,0.10101022
Step 5,0.15514615919354838,0.04491835092543407,0.10296639,0.1564938036693546,0.04491349802270345,0.10420622
Step 6,0.17806911153225832,0.03957382311375536,0.11996482,0.17947412322580666,0.039566595025391865,0.1213596
Step 7,0.13894460383064539,0.045702541250883015,0.10112735,0.1403241160887092,0.045748322705206526,0.10228409
Step 8,0.13843221129032254,0.04775284790460038,0.09792498,0.13945352032258057,0.04809542223099916,0.09869503
Step 9,0.14644989225806462,0.03791787383042609,0.09833554,0.14781775056451624,0.038148104866598996,0.099346
Step 10,0.16856240754032298,0.0301958002795152,0.10848364,0.1701271062499997,0.030242585249512923,0.10987475
