,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.30213171595,0.008357063314212375,0.28864565,0.33969589045,0.014922127161543572,0.3162902
Step 1,0.3403178148199994,0.03329252939931681,0.27117082,0.3979823138600007,0.05063822906267714,0.28801919
Step 2,0.29725493886000115,0.030713556039946053,0.25583238,0.32482980438999937,0.060009274025727366,0.22629606
Step 3,0.2892527927499989,0.01569944450159889,0.25456143,0.3201141861600009,0.03497730264561976,0.23089675
Step 4,0.28278130829000003,0.03206183753424675,0.24747529,0.2958260635599996,0.06922412114858288,0.20693333
Step 5,0.30427435951000004,0.033576936256026646,0.25803731,0.33912453231999984,0.06399674881916151,0.21966671
Step 6,0.2840128909400022,0.02058245250728819,0.24650832,0.30887767415999895,0.04343660007256484,0.2268047
Step 7,0.3042672262099999,0.02942895095876461,0.26164696,0.34791542985999857,0.05194959426751162,0.25164704
Step 8,0.2805508124900015,0.03247078288420598,0.24719711,0.2972512092300022,0.06451193939196129,0.21973542
Step 9,0.3157291617900001,0.0287955829291119,0.25909802,0.3671521379799999,0.05148657968418345,0.24386716
Step 10,0.3031289787599989,0.04463848840545578,0.24609893,0.33546052241000046,0.08629010324952119,0.19492226
