,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.123174655007,0.005003806527800187,0.11234694,0.142165171629,0.006060644414768663,0.12970723
Step 1,0.04790515234599989,0.006072506383828364,0.02807699,0.05480550510799976,0.006926236215724844,0.03104514
Step 2,0.06581492326400139,0.0052775294353455595,0.04855541,0.07555759174900188,0.006108038504505205,0.0561573
Step 3,0.0785136803599958,0.005647025996088596,0.06509286,0.09060499912400288,0.0067383390894644206,0.07508213
Step 4,0.09595460097800185,0.006662474245037565,0.08267692,0.11076517663299497,0.00790992743831661,0.09510462
Step 5,0.11050225171400334,0.007758678324095788,0.08937326,0.12757336034899372,0.009136840136729666,0.10267579
Step 6,0.12782543559299805,0.007888130366012401,0.10530451,0.1476562852070025,0.00955846043128369,0.12103327
Step 7,0.13837391831799226,0.005325423447610858,0.1236731,0.15972410179399507,0.006405636815269596,0.14216879
Step 8,0.15385323633099898,0.008135251260864054,0.14034868,0.17759011473399658,0.009900755514370412,0.16104604
Step 9,0.16458979344901342,0.010974840504426835,0.1387717,0.18999043147900754,0.013420444469939275,0.15898054
Step 10,0.1760100686360169,0.007492438700964958,0.15704551,0.20320283413700066,0.009137454046647092,0.17752322
