,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.2317267300079872,0.09449512084581066,0.0,0.1875392950399361,0.08306725430631155,0.0
Step 1,0.21407809112220555,0.08888447187897419,0.0,0.16587533821885037,0.07832072050555805,0.0
Step 2,0.23878086617811353,0.10413988855697348,0.0,0.19715515714856383,0.09695130719256197,0.0
Step 3,0.21137108699281057,0.08769844593247075,0.0,0.16282674578674175,0.07688987098154604,0.0
Step 4,0.2633917598761995,0.1131639656464625,0.0,0.22589926206469477,0.10660714098359314,0.0
Step 5,0.2270906647603838,0.09017302275992806,0.0,0.18333962808306886,0.07681470618837237,0.0
Step 6,0.24813983299121484,0.1073294767817877,0.0,0.20580418133785822,0.09914149427086953,0.0
Step 7,0.220614204992013,0.09826522660414691,0.0,0.17038180574281184,0.08971492361474917,0.0
Step 8,0.22579705051118226,0.09413830477511644,0.0,0.17788777627795602,0.08341794314506093,0.0
Step 9,0.2349267828354635,0.09416072198356662,0.0,0.1905063672004785,0.08138332873199342,0.0
Step 10,0.21825161359824322,0.08641035291080204,0.0,0.16902691655750926,0.07146500693701087,0.0
