,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.2248573774193548,0.16831977939742265,0.0,0.20276404911290322,0.15182477725265345,0.0
Step 1,0.2128121617338706,0.16332313539134,0.0,0.1903502738709675,0.14814748097391822,0.0
Step 2,0.23680282302419428,0.17954684207121727,0.0,0.2174389521774197,0.16584705260246627,0.0
Step 3,0.21483664455645185,0.16422095982103652,0.0,0.19181542383064482,0.14870556979013194,0.0
Step 4,0.23977825209677356,0.1858508156144431,0.0,0.2190181558064517,0.1728168322633415,0.0
Step 5,0.25259976020161357,0.1931027698503992,0.0,0.23312182524193595,0.1796690883640583,0.0
Step 6,0.22307227020161333,0.1731906153317357,0.0,0.19930189721774175,0.15752906067195013,0.0
Step 7,0.2131803497983872,0.16635752593332803,0.0,0.1874289348387101,0.1505064871188144,0.0
Step 8,0.2080367352016124,0.15978857950745742,0.0,0.18208753137096778,0.14217720140814094,0.0
Step 9,0.21005875161290352,0.1603455442001283,0.0,0.18460950254032235,0.14288510514096325,0.0
Step 10,0.20902733794354847,0.16485941435170778,0.0,0.18163089620967715,0.14876559619317134,0.0
