,train_mean,train_std,train_best,test_mean,test_std,test_best
overall,0.178302914757,0.0008168380437049352,0.17616468,0.175922174667,0.0009233567984519563,0.17362891
Step 1,0.17418403381999817,0.0037559199280771637,0.16434771,0.1722650668150059,0.004100863897169591,0.16134405
Step 2,0.17565870290999902,0.0019383877083452496,0.1719848,0.1738651470769978,0.0019680134749784587,0.16982626
Step 3,0.17536113138599943,0.0026616355485750585,0.17109184,0.17318909850501432,0.0027515972511640376,0.16884431
Step 4,0.1785581097799926,0.0011883242405584088,0.17654638,0.17635531663698492,0.0013365124323397746,0.17404549
Step 5,0.1793415466269839,0.001571998201194599,0.17648365,0.17667275775700278,0.0015023108864130191,0.1742244
Step 6,0.18032457081400222,0.0010365974828306106,0.17856109,0.1774701307650005,0.0014526775547106614,0.17472356
Step 7,0.1800447385540067,0.0007276361150258601,0.17911942,0.17821792726400426,0.0009297970068551544,0.17703609
Step 8,0.17995472957399591,0.0009067707466040249,0.17876952,0.17824645049500729,0.0013759102022390085,0.17620572
Step 9,0.17960645786600765,0.0007096175141576523,0.17871878,0.1765413589979986,0.001294530571962685,0.17415405
Step 10,0.17979083758800413,0.0004934903028551388,0.17915915,0.17619675766401005,0.001141614754089766,0.17434184
